ItemID	Sound.file	item.x	PhrasalAccentSonia	AnyAccentSonia	AccentIngo	Text
124	sw02186	import	yes	yes	unclear	yeah and they have to they have to import a lot of their um
208	sw02335	imbalance	yes	yes	unclear	uh the causes of crime um i think it was an imbalance of of power in the United States that's causing the lower c[lass]- class to rebel
306	sw02498	unnecessary	yes	yes	unclear	and all the uh unnecessary military installations
342	sw02578	unauthorized	yes	yes	unclear	well there's been a lot of publicity lately about that new Nancy Reagan book out by uh Kitty Kelly the unauthorized biography are you interested in that at all
575	sw03125	unorthodox	yes	yes	unclear	and his uh kind of unorthodox professional football type uh coaching
588	sw03180	immediately	yes	yes	unclear	of a bank that was immediately behind our housing development and
605	sw03286	immigrant	yes	yes	unclear	okay that's interesting i was i was wondering what your response would be i'm a first generation American so i'm from immigrant parents or an immigrant mother
433	sw02753	unnerving	yes	no	yes	yes oh the stories she tells you know are just unnerving just unnerving
107	sw02157	impressive	yes	unclear	yes	since they've been to Phoenix they haven't been uh all that impressive i guess i guess i've
126	sw02191	undisciplined	yes	unclear	yes	well i like i am undisciplined in the sense that i can't just go and do exercise
168	sw02259	immigrants	yes	unclear	yes	uh an immigrant family or immigrant families on both sides both my mother's parents and my father's parents were immigrants so
257	sw02433	uneven	yes	unclear	yes	uh-hum well the floor was uneven you know sure yeah
302	sw02490	unusual	yes	unclear	yes	it was it was quite unusual to see the people in
316	sw02514	immigrants	yes	unclear	yes	call what do you call immigrants they don't allow anything like
333	sw02548	impulse	yes	unclear	yes	that was the worst impulse that w[as]- that was the
360	sw02623	unknown	yes	unclear	yes	he's taken off for parts unknown but uh yeah a[nd]- and
392	sw02687	unattended	yes	unclear	yes	they would leave the house unattended unlocked just figuring that if
395	sw02709	immigration	yes	unclear	yes	a whole lot about the immigration laws but i do know
409	sw02727	unusual	yes	unclear	yes	standpoint but i think it's unusual and i think part of
422	sw02740	immature	yes	unclear	yes	or something it's just so immature and oh just futile you
437	sw02760	unstitched	yes	unclear	yes	they co[me]- come unhemmed or unstitched so easily
544	sw03038	imprisoned	yes	unclear	yes	were ah killed or or imprisoned or and the property confiscated
563	sw03099	unexpected	yes	unclear	yes	in at times that are unexpected the
581	sw03147	immaterial	yes	unclear	yes	it or not is is immaterial if she enjoys it and
583	sw03153	unavailable	yes	unclear	yes	the doctor and he was unavailable so uh i've had some
600	sw03265	immediately	yes	unclear	yes	if they held their value that would be one thing but when you consider that when you drive them_1 off of the show lot they're immediately two thousand dollars depreciated
628	sw03424	unlikely	yes	unclear	yes	but i think it's very unlikely we'll have a family reunion
655	sw03590	unintentional	yes	unclear	yes	i i believe it was unintentional he fouled him hard but
884	sw04680	immigration	yes	unclear	yes	i think Don that maybe immigration is more of an issue
893	sw04805	immediately	yes	unclear	yes	thereby increasing the uh capacity immediately
906	sw04883	immediately	yes	unclear	yes	you'd get the product and immediately there's a problem with it
909	sw04902	immigration	yes	unclear	yes	as uh as far as immigration as a whole goes i
910	sw04902	immigrant	yes	unclear	yes	spirit than a first generation immigrant so there's uh uh there's
14	sw02012	uncontrolled	yes	yes	yes	was uh that it was uncontrolled access to who would have
33	sw02025	impact	yes	yes	yes	would really make a good impact but likewise you could have
34	sw02027	impossible	yes	yes	yes	it's just so it's just impossible to crawl down on the
35	sw02027	unair-conditioned	yes	yes	yes	middle of the summer it's unair-conditioned it was dusty and dirty
49	sw02040	imposed	yes	yes	yes	to think exactly what is imposed if they would become a
59	sw02051	unfit	yes	yes	yes	if a parent has proved to be unfit
62	sw02054	unpredictable	yes	yes	yes	the weather here is so unpredictable you know i i don't
64	sw02054	imposing	yes	yes	yes	you just feel like you're imposing on people you know oh
80	sw02105	unheard	yes	yes	yes	full innings that was almost unheard of for a pitcher to
97	sw02137	unemployed	yes	yes	yes	have something for the the unemployed in a voluntary field like
102	sw02153	undecided	yes	yes	yes	well i think most people when they are in high school are very undecided about what course of study they want to take
139	sw02205	impartial	yes	yes	yes	they think that they're basically impartial and that but and and
144	sw02230	implications	yes	yes	yes	don't even fathom what the implications are of they're decision so
152	sw02233	implemented	yes	yes	yes	that um that are being implemented at the moment that everybody
153	sw02235	immigrants	yes	yes	yes	we've got too many uh uh uh immigrants
158	sw02244	unusual	yes	yes	yes	oh that's unusual i'd never heard of anything like that you know here in Texas it's all you know Tex-Mex cooking and barbecue and
163	sw02252	untouchable	yes	yes	yes	was seen as you know untouchable
165	sw02259	immigration	yes	yes	yes	well how how do you feel about the immigration laws
173	sw02273	unfortunate	yes	yes	yes	yeah it's unfortunate because yeah you know e[ven]- even though you you think of them as a whole family when you do things sometimes you separate them without even realizing it
180	sw02293	impressions	yes	yes	yes	well give me your first impressions
185	sw02302	unfairness	yes	yes	yes	payoffs you know briberies uh unfairness one sidedness you know all those
197	sw02318	importers	yes	yes	yes	capital punishment for the true importers of drugs not the kids
205	sw02328	unduly	yes	yes	yes	uh-huh and you don't feel that your relationship with your father has unduly uh influenced your relationship with your husband then
206	sw02332	unhealthy	yes	yes	yes	to prove that it is unhealthy because we all know that
207	sw02332	unacceptable	yes	yes	yes	acceptable where smoking is socially unacceptable today and so that there's
210	sw02341	uninfluenced	yes	yes	yes	yeah it'd be nice if you could find someone oh uninfluenced by groups and and honest
213	sw02344	impossibility	yes	yes	yes	well sure that but that's a that's an impossibility i think
215	sw02347	imply	yes	yes	yes	market as many of them imply i think they're going in
226	sw02368	unwind	yes	yes	yes	uh they're trying to to unwind
238	sw02384	unfreeze	yes	yes	yes	they did get hot they'd unfreeze that would be nice if
243	sw02395	unread	yes	yes	yes	of Sunday newspapers that go unread unless
250	sw02415	immigration	yes	yes	yes	that there is too much immigration now
251	sw02415	immigrant	yes	yes	yes	probably more than what i'm making maybe i should become an immigrant and go somewhere else
254	sw02421	uncontrollable	yes	yes	yes	now that are are almost uncontrollable i mean he he puts
259	sw02438	unoccupied	yes	yes	yes	it's terraced and its usually unoccupied and boy you can just
261	sw02441	unemployment	yes	yes	yes	growing up worked for the unemployment division and his sole job
264	sw02441	imports	yes	yes	yes	and they're trying to do that now with the imports
269	sw02443	unacademically	yes	yes	yes	he's very uh kind of unacademically inclined he wants badly to
271	sw02447	immediately	yes	yes	yes	so you pay for it immediately instead of um you know
273	sw02452	unpopularity	yes	yes	yes	him a little bit of unpopularity with the people over there
275	sw02457	unbelievably	yes	yes	yes	it was just unbelievably hot and
279	sw02459	immediately	yes	yes	yes	and mouth and we knew immediately what they had been doing
289	sw02481	impose	yes	yes	yes	well i cert[ainly]- i believed in it in some s[ituations]- you know cases but i would feel that it would be very hard for me to impose it on somebody
290	sw02481	unbiased	yes	yes	yes	that you can't be uh unbiased that's going to be enough
292	sw02483	unnecessarily	yes	yes	yes	sort of glass uh almost unnecessarily f[or]- so uh
296	sw02484	imperfections	yes	yes	yes	but i can handle the imperfections that i'm around i- i
300	sw02488	uneasy	yes	yes	yes	i still feel a little uneasy about him playing back there
307	sw02499	unimpressive	yes	yes	yes	yeah it was yeah it was unimpressive to look at i mean the whole thing was about the size of a a medium house yeah it wasn't no
310	sw02509	uninteresting	yes	yes	yes	know i[t]- it was so uninteresting that i don't even remember
314	sw02511	uninformed	yes	yes	yes	i mean that's that's how uninformed he was and disinterested and
315	sw02513	unevenness	yes	yes	yes	yeah because it causes an unevenness in the rubber and uh
318	sw02517	impractical	yes	yes	yes	but dogs are just too impractical to have at all oh
320	sw02523	immigration	yes	yes	yes	my my problem with immigration is when you take people that has been here on welfare or trying to make it
332	sw02547	immediate	yes	yes	yes	well that's that area over there is not as expensive as in the the immediate you know Washington area
339	sw02569	immaculate	yes	yes	yes	but uh my yard was immaculate he did a great job
346	sw02598	Untouchables	yes	yes	yes	um he was in The Untouchables too
351	sw02612	unelectable	yes	yes	yes	but completely unelectable and
352	sw02612	uninspiring	yes	yes	yes	i i must admit i'm i'm s[till]- i i still find him a little uninspiring he he seems like a reasonably competent
356	sw02618	unnerved	yes	yes	yes	she wouldn't quite get totally unnerved but the five year old
361	sw02624	immigration	yes	yes	yes	is how we feel about immigration would you like to get
367	sw02636	imported	yes	yes	yes	are brought in that are imported so yeah we do that
371	sw02651	immediate	yes	yes	yes	w[ell]- in the immediate area because we're in the county with the uh
377	sw02659	impresses	yes	yes	yes	amazing and so that really impresses me the service in a
378	sw02664	immortal	yes	yes	yes	yeah i[t]- i[t]- it they're immortal but uh i- i just
386	sw02676	unusual	yes	yes	yes	i was just amazed how unusual that looks
391	sw02686	implied	yes	yes	yes	Colorado Springs yesterday who is implied or inferred definitely that he
397	sw02709	impolite	yes	yes	yes	sometimes they can be very impolite because they can they get
404	sw02721	immediately	yes	yes	yes	automatic weapons bought bullets drove immediately back to the Post Office
408	sw02725	impatient	yes	yes	yes	yeah we're very impatient
414	sw02731	impulsive	yes	yes	yes	and i think that might stop some of the uh impulsive crimes but uh things that like that are planned uh selling guns to New York City things of that nature i don't think you're ever going to be able to stop that
415	sw02731	importing	yes	yes	yes	well they have a lot tighter controls on importing things of that nature too you can't get them_1 through airports uh
423	sw02744	undone	yes	yes	yes	you know it's all totally undone uh the the thing that
430	sw02753	immature	yes	yes	yes	no very immature in that respect
432	sw02753	unnerving	yes	yes	yes	yes oh the stories she tells you know are just unnerving just unnerving
450	sw02799	unemployment	yes	yes	yes	oh can you collect unemployment
454	sw02810	unnecessary	yes	yes	yes	of things that might seem unnecessary but i- it's unreal on
457	sw02816	unsatisfactory	yes	yes	yes	so it was unsatisfactory completely
466	sw02840	unemployed	yes	yes	yes	well then then again when you have uh a society where a certain percentage of the parents are uh doing drugs in the home uh either unemployed and don't care about a uh just a have their own problems
471	sw02847	imprint	yes	yes	yes	no we don't uh normally we don't publish uh things under our own imprint uh
486	sw02884	unemployed	yes	yes	yes	i sold my house and that's what's really paying for my uh time unemployed or whatever you know because
488	sw02891	unnerving	yes	yes	yes	too that one was very unnerving for me i uh i
489	sw02891	unnerving	yes	yes	yes	well i have to agree with you it that that part of it was somewhat unnerving although
492	sw02899	unaccepted	yes	yes	yes	so it's just sort of unaccepted you just kind of go
495	sw02900	unnecessary	yes	yes	yes	times useless and inordinately complex unnecessary tests in hospitals for older
503	sw02916	unnecessary	yes	yes	yes	well i really do believe that there are huge quantities of money wasted on u[nnecessary]- unnecessary uh bureaucracy and on just flat stupid things
505	sw02919	immediate	yes	yes	yes	on the one hand my immediate reaction to it was oh
516	sw02939	unintentionally	yes	yes	yes	things that we brought uh unintentionally was uh violets which is
518	sw02942	imparting	yes	yes	yes	they have no way of imparting it to except to another
521	sw02962	immemorial	yes	yes	yes	have worked uh uh time immemorial and when uh difficult decisions
523	sw02968	immediately	yes	yes	yes	the in the news immed[iately]- immediately you know uh which is
532	sw03005	untrained	yes	yes	yes	of a relatively unin[volved]- unin[volved]- untrained uh person and he can
534	sw03007	unreliable	yes	yes	yes	a a a such an unreliable animal that the American Seeing
549	sw03057	unable	yes	yes	yes	wait until they're you know unable
553	sw03062	immediately	yes	yes	yes	he needs to be tested immediately because you know once the
569	sw03111	unacceptable	yes	yes	yes	society that drunken driving is unacceptable and yeah if you're going
570	sw03111	uninsured	yes	yes	yes	than insurance but he was uninsured so uh our insurance paid
574	sw03121	unusual	yes	yes	yes	i am now that's very unusual most people get marrie[d]- i
578	sw03132	unemployed	yes	yes	yes	i would love for my girls to take piano lessons but we've been unemployed for a while so i haven't had a chance to do that so
584	sw03157	immediately	yes	yes	yes	turnabout in the nineties not immediately but as people become more
590	sw03193	immediately	yes	yes	yes	can tell that it just immediately if i've been coughing or
594	sw03204	unexpectedly	yes	yes	yes	to drop in all uh unexpectedly a lot and so many
599	sw03265	imprinted	yes	yes	yes	um-hum um-hum that's why we were so surprised to see Toyota written i mean imprinted on the engine it was real interesting
601	sw03276	uninsurable	yes	yes	yes	insurance i mean y[ou're]- you're uninsurable unless you want to pay
621	sw03380	impressionable	yes	yes	yes	as far as being very impressionable right at that time um
623	sw03401	unnecessary	yes	yes	yes	know th[at]- to me that's unnecessary
625	sw03423	impeccable	yes	yes	yes	is delicious the service is impeccable and they're not intrusive and
633	sw03466	unannounced	yes	yes	yes	on and um it was unannounced type thing and they announced
643	sw03539	immediately	yes	yes	yes	and i have tried it immediately after school like try to
656	sw03590	unnecessary	yes	yes	yes	was totally uncalled for this unnecessary violence when they've been guilty
664	sw03607	unevenly	yes	yes	yes	it's settling unevenly
667	sw03622	immediately	yes	yes	yes	it got ill and died immediately so
669	sw03630	unusual	yes	yes	yes	really it's pretty amazing when you look on so many families some time back that were larger it's very much the unusual today
678	sw03658	unnecessarily	yes	yes	yes	doing a lot of things unnecessarily et cetera so well i
680	sw03673	unexpected	yes	yes	yes	that's unusual that i was unexpected and then i may have
694	sw03739	unnecessary	yes	yes	yes	raise the taxes if it's unnecessary
696	sw03744	unthinkable	yes	yes	yes	it's just you know it it's almost unthinkable but it it is hey in a i i still wonder whether you know that it's going to be stable and then what's going to happen there
697	sw03748	unaffordable	yes	yes	yes	yeah if you if you don't have a very good paying job or you are not with a company that provides it it is uh pretty much unaffordable uh to pay for it on your own
702	sw03791	unarmed	yes	yes	yes	go out in the woods unarmed and deer will be tripping
713	sw03838	untalented	yes	yes	yes	um actually i i'm pretty untalented i used to do a lot of knitting and crocheting um
715	sw03846	uninhabitable	yes	yes	yes	fallout that it's utterly in[habitable]- uninhabitable even though it's been several
727	sw03887	unacceptable	yes	yes	yes	to think work are politically unacceptable for example taxing people heavily
728	sw03888	impede	yes	yes	yes	regulations that are going to impede their whatever industry they happen
734	sw03916	improper	yes	yes	yes	things that were you know improper or or uh you know
738	sw03943	unethical	yes	yes	yes	it it's not just the unethical part of it it's the
739	sw03956	unaffordable	yes	yes	yes	good grief that's just almost unaffordable isn't it
740	sw03967	unusual	yes	yes	yes	oh that's unusual because_1 they don't usually bite
742	sw03976	immediately	yes	yes	yes	was a mess so i immediately the next morning i took
745	sw04005	impotence	yes	yes	yes	having any impact i think impotence is a is a a
758	sw04036	unorganized	yes	yes	yes	know it was jury was unorganized and it was it was
761	sw04038	impaneled	yes	yes	yes	well i was never there never there for any sentencing uh i finally got impaneled on one case uh on my next to the last day and uh we got into the uh jury room to uh
763	sw04050	immediate	yes	yes	yes	i would say you're spread out then uh my my immediate family you know my my
776	sw04088	impair	yes	yes	yes	that that these drugs might impair their abilities okay and like
782	sw04106	unusual	yes	yes	yes	letters which is kind of unusual but it's a pretty cost
785	sw04119	implying	yes	yes	yes	now that's implying that um as a punitive kind of a thing as well you definitely want to discourage that is that kind of what you're saying
796	sw04162	unannounced	yes	yes	yes	right because then there's some places and i w[ould]- and i would don't this would be a a big minus for the places there are some places that state that you cannot come in unannounced
798	sw04170	immoral	yes	yes	yes	to do things that are immoral and then expect me to
800	sw04174	unkind	yes	yes	yes	a spirit of somewhat unkind but producing graduates um you
802	sw04177	immediate	yes	yes	yes	they the news isn't like immediate what you'd generally think of
821	sw04258	unsuitable	yes	yes	yes	was but it was really unsuitable uh it was some sort
825	sw04274	impairing	yes	yes	yes	things uh that could be impairing your ability to perform the
837	sw04307	impaired	yes	yes	yes	against driving uh uni[mpaired]- while impaired should apply to any chemical
838	sw04313	impediment	yes	yes	yes	on now may be an impediment and th[at]- by that i
857	sw04365	unbolted	yes	yes	yes	uh it it uh unbolted just in front of the
861	sw04376	immediate	yes	yes	yes	never had anybody in my immediate family uh murdered and so
879	sw04644	unemployment	yes	yes	yes	even hate to give out unemployment at the end of tax
885	sw04680	immigrants	yes	yes	yes	up a truck full of immigrants and it runs out of
889	sw04769	immediately	yes	yes	yes	it didn't look good imm[ediately]- immediately it really if you go
891	sw04770	immorality	yes	yes	yes	us for uh you know immorality and this and this and
892	sw04784	immediacy	yes	yes	yes	yeah the immediacy just isn't there and um uh i also think that o[ne]- one of the problems and actually i don't think this i think this is a cultural problem
900	sw04836	unfriendly	yes	yes	yes	well Unix to me i mean uh that System Five i mean that's pretty looks pretty uh user unfriendly
902	sw04843	immediately	yes	yes	yes	then let's deal with it immediately and as quickly as possible
908	sw04901	uneasy	yes	yes	yes	i i feel decidedly un[easy]- uneasy about it what about New
911	sw04902	immigrants	yes	yes	yes	but there's some differences in the immigrants
912	sw04914	unimaginable	yes	yes	yes	years from now it's just unimaginable what we're going to be
