"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","Environment2","syllabicity","Environment","Environment4","TypeOfL","ConsonantDurMS","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical"
"28",4670,"aerobically","participant_13A_Experiment_2",1313,"participant_13_A_18.TextGrid","N","N","Unaccented","Sonia",18,0.682926547409087,4,8,0.022203325774754,"k","C",0.0528344671201815,"i","V",0.0731725035693289,0,0.0478403460149495,6.072,"NoGlottalStop",0,11.7142905490359,0.095375829344083,0.587550718065004,0.155955369321366,0.682926547409087,0.095375829344083,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",2,752.18,872.99,19,"male","British English","no","South Devon","French proficient and Spanish medium proficient","no","Linguistics 1st year","University of Cambridge","Yes. for around 4 weeks","Yes","Yes","no","no","unaccented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.095375829344083,"yes","L","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","tap",22.203325774754,"No Pause","Pause",1.81159420289855,"MidFreq"
"29",4671,"aerobically","participant_1A_Experiment_2",1553,"participant_1_A_221.TextGrid","N","N","Unaccented","Sonia",221,0.779415726658675,4,8,0.0176695407646337,"k","C",0.134033237658297,"i","V",0.127900484070697,0,0.0601680924895209,7.26399999999967,"NoGlottalStop",0,10.2640987683116,0.14557002483533,0.633845701823344,0.153392493973787,0.779415726658675,0.14557002483533,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",1,698.32,820.71,25,"female","British English","no","England","Mandarin. basic ","no","MA Dramatherapy year 2","Anglia Ruskin","no","no","no","no","no","unaccented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.14557002483533,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",17.6695407646337,"No Pause","Pause",1.51431718061681,"MidFreq"
"30",4672,"aerobically","participant_4B_Experiment_2",2968,"participant_4_B_169.TextGrid","N","N","Accented","Viktoria",169,0.747629590364284,4,9,0.0239364430974143,"k","C",0.153388107887,"i","V",0.105940571899756,0.0306297376093294,0.0242322820037102,4.73599999999988,"NoGlottalStop",0,12.0380468028489,0.12987701499717,0.617752575367114,0.0902448979591837,0.747629590364284,0.12987701499717,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",1,508.88,607.82,19,"female","British English","no","North London","Basic French","Some - I studied it for GCSE","Natural Sciences (Biological). 2nd year","University of Cambridge","no","no","no","no","no","unaccented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.12987701499717,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",23.9364430974143,"Pause","Pause",2.32263513513519,"MidFreq"
"31",4673,"aerobically","participant_3A_Experiment_2",2362,"participant_3_A_185.TextGrid","N","N","Accented","Mandy",185,0.782789745527841,4,8,0.0311268471352508,"k","C",0.0914846014846011,"i","V",0.230803654795251,0.0794344774947016,0.0478825180865998,3.96800000000007,"NoGlottalStop",0,10.2198579448758,0.261930501930502,0.520859243597338,0.0972997934108104,0.782789745527841,0.261930501930502,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",2,847.3,962.52,20,"female","British English","no","Kent. England","Portuguese (basic)","no","Second year. Psychological and Behavioural Sciences","University of Cambridge","no","no","no","no","no","accented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.261930501930502,"yes","L","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","tap",31.1268471352508,"Pause","Pause",1.51209677419352,"MidFreq"
"32",4674,"aerobically","participant_2A_Experiment_2",1895,"participant_2_A_121.TextGrid","N","N","Accented","Sonia",121,0.689935600907029,4,8,0.0276171667139815,"k","C",0.111788873213952,"i","V",0.149562750012286,0,0.091514134542706,8.46400000000006,"NoGlottalStop",0,11.5952851099186,0.177179916726267,0.512755684180762,0.0701076361280446,0.689935600907029,0.177179916726267,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",4,751.58,838.84,21,"male","British English","no","Nantwich. Cheshire","None","no","Foundation Gaming Technology BS/c 1st Year","Anglia Ruskin University","Yes 1 Year","no","no","no","no","accented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.288968789940219,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",27.6171667139815,"No Pause","Pause",0.708884688090732,"MidFreq"
"33",4675,"aerobically","participant_1B_Experiment_2",1705,"participant_1_B_146.TextGrid","N","N","Unaccented","Mandy",146,0.726410934744268,4,9,0.0305578046435966,"k","C",0.106354185152322,"i","V",0.137578184051398,0.0538819601914842,0,6.50399999999991,"NoGlottalStop",0,12.3896813353566,0.168135988694995,0.558274946049273,0.0810078373350909,0.726410934744268,0.168135988694995,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",2,652.27,805.45,21,"female","British English","no","Cambridge (0-3). Bristol (3-5). Felixstowe (5-7). Bradford (7-16). Abingdon (16 onwards)","Basic French","no","3rd year Materials Science","Cambridge","no","no","no","no","no","accented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.168135988694995,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",30.5578046435966,"Pause","No Pause",0.922509225092264,"MidFreq"
"34",4676,"aerobically","participant_5B_Experiment_2",3523,"participant_5_B_62.TextGrid","N","N","Unaccented","Mandy",62,0.652659201611679,4,8,0.046182292809597,"k","C",0.0603779964366695,"i","V",0.111078861652188,0,0.48131864867159,5.82399999999996,"NoGlottalStop",0,12.2575457148919,0.157261154461785,0.495398047149894,0.0817144141728945,0.652659201611679,0.157261154461785,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",2,868.83,1043.44,20,"male","British English","no","Leeds","None","I know a few words and phrases. I have never studied it","English Language and English Language Teaching. 2nd year","Anglia Ruskin University","Yes. 1 year","Yes","Yes","Yes","Yes","unaccented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.157261154461785,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",46.182292809597,"No Pause","Pause",1.88873626373628,"MidFreq"
"35",4677,"aerobically","participant_5A_Experiment_2",3259,"participant_5_A_272.TextGrid","N","N","Unaccented","Mandy",272,0.704668858905688,4,8,0.0459461360647762,"k","C",0.139570776255707,"i","V",0.146450369830472,0,0.270646258503402,4.34800000000018,"NoGlottalStop",0,11.3528502060153,0.192396505895248,0.51227235301044,0.0694884908731312,0.704668858905688,0.192396505895248,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",1,731.92,833.23,27,"male","British English","no","Taunton. Somerset. UK (South West)","None","no","Psychological and Behavioural Sciences (1st Year)","University of Cambridge","no","no","no","no","no","accented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.192396505895248,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",45.9461360647762,"No Pause","Pause",1.37994480220785,"MidFreq"
"53",4695,"agriculturally","participant_6A_Experiment_2",3625,"participant_6_A_201.TextGrid","N","N","Accented","Simon",201,1.09097430083144,5,11,0.0665012010067447,"@","V",0.0588795907657467,"i","V",0.278077035802983,0.0497531368102793,0.54047619047619,7.596,"NoGlottalStop",0,10.0827306304253,0.344578236809728,0.746396064021716,0.0842930526541323,1.09097430083144,0.344578236809728,"ly",28,96,3,"agricultural",28,4022,NA,"unstressed",NA,"transparent","word",1,629.12,784.73,20,"male","British English","no","Birmingham. UK","Japanese - medium proficient. Dutch - basic. German - medium proficient","no","Abnormal and Clinical Psychology - Year 2","Anglia Ruskin University","no","no","no","no","no","unaccented","Experiment_2",3.3322045101752,8.2995345703326,3.3322045101752,0.0069617105917454,-4.96733006015739,"agricultural","unstressed","al",0.344578236809728,"yes","l","ll",1,"word","Vl#l","no","l#l","Vl#l-al","approximant",66.5012010067447,"Pause","Pause",1.44813059505003,"MidFreq"
"54",4696,"agriculturally","participant_4A_Experiment_2",2895,"participant_4_A_54.TextGrid","N","N","Accented","Mandy",54,0.808447251916639,4,10,0.0521292818679573,"tS","C",0.109502409910573,"i","V",0.139640309085307,0.138690406203634,0.0241060360652194,4.16800000000001,"NoGlottalStop",0,12.3693907998232,0.191769590953264,0.616677660963375,0.120489040060469,0.808447251916639,0.191769590953264,"ly",28,96,3,"agricultural",28,4022,NA,"unstressed",NA,"transparent","word",4,871.8,996.91,19,"female","British English","no","Wells-next-the-sea. Norfolk. UK","None","no","2nd Year Meida Studies","Anglia Ruskin University ","no","no","no","no","no","accented","Experiment_2",3.3322045101752,8.2995345703326,3.3322045101752,0.0069617105917454,-4.96733006015739,"agricultural","unstressed","al",0.301272000863837,"yes","l","ll",1,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",52.1292818679573,"Pause","Pause",1.43953934740883,"MidFreq"
"55",4697,"agriculturally","participant_10A_Experiment_2",95,"participant_10_A_225.TextGrid","N","N","Accented","Mandy",225,1.08075657776338,5,11,0.0589735858307288,"3","V",0.0929406054819588,"eI","V",0.21725641092988,0.0890085663895186,0.21959710074506,13.1960000000001,"NoGlottalStop",0,10.1780551016996,0.276229996760609,0.804526581002772,0.121550768455531,1.08075657776338,0.276229996760609,"ly",28,96,3,"agricultural",28,4022,NA,"unstressed",NA,"transparent","word",1,690.83,785.84,25,"female","British English","no","Surrey. England","None","no","English Language & Linguistics - Second Year","Anglia Ruskin University","Yes - one year","Yes","Yes","Yes","Yes","accented","Experiment_2",3.3322045101752,8.2995345703326,3.3322045101752,0.0069617105917454,-4.96733006015739,"agricultural","unstressed","al",0.276229996760609,"yes","l","ll",1,"word","Vl#l","no","l#l","Vl#l-al","approximant",58.9735858307288,"Pause","Pause",0.454683237344646,"MidFreq"
"56",4698,"agriculturally","participant_3A_Experiment_2",2365,"participant_3_A_188.TextGrid","N","N","Accented","Mandy",188,1.01246152683296,5,11,0.0665142019986291,"@","V",0.11164935617104,"i","V",0.186623298001371,0.0612532123960696,0.139906842737095,4.44799999999998,"NoGlottalStop",0,10.8646103663896,0.2531375,0.759324026832955,0.12727874188224,1.01246152683296,0.2531375,"ly",28,96,3,"agricultural",28,4022,NA,"unstressed",NA,"transparent","word",2,847.3,962.52,20,"female","British English","no","Kent. England","Portuguese (basic)","no","Second year. Psychological and Behavioural Sciences","University of Cambridge","no","no","no","no","no","accented","Experiment_2",3.3322045101752,8.2995345703326,3.3322045101752,0.0069617105917454,-4.96733006015739,"agricultural","unstressed","al",0.2531375,"yes","l","ll",1,"word","Vl#l","no","l#l","Vl#l-al","approximant",66.5142019986291,"Pause","Pause",1.34892086330936,"MidFreq"
"57",4699,"agriculturally","participant_8A_Experiment_2",4504,"participant_8_A_264.TextGrid","N","N","Unaccented","Sonia",264,0.84221629822708,5,10,0.0552245715102859,"@","V",0.0836009070294783,"i","V",0.0805793705793703,0,0.0700151855614042,4.5920000000001,"NoGlottalStop",0,11.873434438458,0.135803942089656,0.706412356137424,0.142215833083758,0.84221629822708,0.135803942089656,"ly",28,96,3,"agricultural",28,4022,NA,"unstressed",NA,"transparent","word",1,834.92,1022.03,21,"male","British English","no","London. then Oxfordshire","French (proficient). Arabic (proficient). Farsi (medium proficient)","Yes. I studied Latin for 8 years. proficient.","Middle Eastern Studies. 4th year","University of Cambridge","no","I went to a few lectures on phonetics in my first year of university.","The above lecture also covered phonology.","no","no","unaccented","Experiment_2",3.3322045101752,8.2995345703326,3.3322045101752,0.0069617105917454,-4.96733006015739,"agricultural","unstressed","al",0.135803942089656,"yes","l","ll",1,"word","Vl#l","no","l#l","Vl#l-al","approximant",55.2245715102859,"No Pause","Pause",2.39547038327521,"MidFreq"
"58",4700,"agriculturally","participant_10B_Experiment_2",334,"participant_10_B_276.TextGrid","N","N","Accented","Mandy",276,0.913900083843061,5,11,0.0878623746785259,"9","C",0.0427185640563361,"i","V",0.14325229152694,0.0648130680843766,0,5.27199999999993,"NoGlottalStop",0,12.0363267215642,0.231114666205466,0.682785417637595,0.0857411377249313,0.913900083843061,0.231114666205466,"ly",28,96,3,"agricultural",28,4022,NA,"unstressed",NA,"transparent","word",1,627.46,777.21,19,"female","British English","no","North-West London","German (proficient). French (proficient). Spanish (basic/medium proficient)","no","MML (French and German)- Second Year","University of Cambridge","no","no","no","no","no","unaccented","Experiment_2",3.3322045101752,8.2995345703326,3.3322045101752,0.0069617105917454,-4.96733006015739,"agricultural","unstressed","al",0.231114666205466,"yes","l","ll",1,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",87.8623746785259,"Pause","No Pause",2.08649468892264,"MidFreq"
"59",4701,"agriculturally","participant_12A_Experiment_2",941,"participant_12_A_247.TextGrid","N","N","Accented","Sonia",247,0.947135935769657,5,11,0.0728636813499026,"@","V",0.0956580495646855,"i","V",0.132916099773242,0.0641688639280003,0.310121882086168,9.74400000000014,"NoGlottalStop",0,11.6139611903346,0.205779781123145,0.741356154646512,0.130299201075779,0.947135935769657,0.205779781123145,"ly",28,96,3,"agricultural",28,4022,NA,"unstressed",NA,"transparent","word",1,972.92,1298.44,31,"male","British English","no","Cambridge. UK","Japanese (basic/functional). French (GCSE). German (GCSE)","Yes. I did Latin GCSE. (That was for three years at secondary school.)","I studied Pure Mathematics.","I studied at Warwick.","Yes. I did a CELTA English-teaching qualification. which has a large component on phonetics. etc. I continue to build on that as I teach EFL.","no","no","no","no","unaccented","Experiment_2",3.3322045101752,8.2995345703326,3.3322045101752,0.0069617105917454,-4.96733006015739,"agricultural","unstressed","al",0.205779781123145,"yes","L","ll",1,"word","Vl#l","no","l#l","Vl#l-al","tap",72.8636813499026,"Pause","Pause",1.12889983579637,"MidFreq"
"60",4702,"agriculturally","participant_2A_Experiment_2",1967,"participant_2_A_222.TextGrid","N","N","Accented","Mandy",222,0.841821077637404,5,11,0.0429125484160271,"9","C",0.0916793387091936,"i","V",0.111567562898175,0,0.0602436741892527,5.75199999999973,"NoGlottalStop",0,13.0669096940075,0.154480111314202,0.687340966323202,0.121364323507181,0.841821077637404,0.154480111314202,"ly",28,96,3,"agricultural",28,4022,NA,"unstressed",NA,"transparent","word",2,751.58,838.84,21,"male","British English","no","Nantwich. Cheshire","None","no","Foundation Gaming Technology BS/c 1st Year","Anglia Ruskin University","Yes 1 Year","no","no","no","no","unaccented","Experiment_2",3.3322045101752,8.2995345703326,3.3322045101752,0.0069617105917454,-4.96733006015739,"agricultural","unstressed","al",0.154480111314202,"yes","l","ll",1,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",42.9125484160271,"No Pause","Pause",1.91237830319898,"MidFreq"
"61",4703,"agriculturally","participant_5A_Experiment_2",3138,"participant_5_A_10.TextGrid","N","N","Unknown","Sonia",10,1.07263686426952,5,11,0.0381997652862314,"e","V",0.116725134770141,"i","V",0.184774805494462,0.0364869884461725,0.418709102688694,5.504,"NoGlottalStop",0,10.2551015785675,0.222974570780694,0.849662293488824,0.124398727968719,1.07263686426952,0.222974570780694,"ly",28,96,3,"agricultural",28,4022,NA,"unstressed",NA,"transparent","word",1,731.92,833.23,27,"male","British English","no","Taunton. Somerset. UK (South West)","None","no","Psychological and Behavioural Sciences (1st Year)","University of Cambridge","no","no","no","no","no","unaccented","Experiment_2",3.3322045101752,8.2995345703326,3.3322045101752,0.0069617105917454,-4.96733006015739,"agricultural","unstressed","al",0.222974570780694,"yes","l","ll",1,"word","Vl#l","no","l#l","Vl#l-al","approximant",38.1997652862314,"Pause","Pause",1.99854651162791,"MidFreq"
